date,dir,entry,exit,contracts,reason,pnl_gross,pnl_net,bar,q
2020-10-08,1,11533.33627946486,11520.77,1,SL,-251.3255892971938,-261.3255892971938,125,
2020-10-12,1,11904.63043908601,11890.36,1,SL,-285.40878172017983,-295.40878172017983,22,
2020-10-13,-1,12096.369158188423,12068.277241337817,1,TP,561.8383370121228,556.8383370121228,36,
2020-10-13,1,12052.58,12095.828950566607,4,TP,3459.916045328573,3439.916045328573,50,
2020-10-13,-1,12099.36,12120.5,1,SL,-422.79999999998836,-432.79999999998836,55,
2020-10-13,-1,12142.871523954274,12086.733717847454,1,TP,1122.7561221364158,1117.7561221364158,254,
2020-10-14,1,12118.068485850044,12104.42,1,BE,-272.9697170008876,-282.9697170008876,44,
2020-10-15,1,11842.931821691298,11827.29,1,SL,-312.83643382594164,-322.83643382594164,40,
2020-10-19,1,11932.775312422456,11909.09,3,SL,-1421.1187453473758,-1451.1187453473758,25,
2020-10-20,-1,11696.201571460753,11672.079092627991,1,TP,482.44957665523543,477.44957665523543,20,
2020-10-20,1,11672.182511714753,11694.175780972137,1,TP,439.86538514767744,434.86538514767744,27,
2020-10-20,-1,11695.1,11716.0,1,SL,-417.9999999999927,-427.9999999999927,30,
2020-10-26,1,11656.493554942674,11640.69,1,SL,-316.0710988534629,-326.0710988534629,59,
2020-10-27,-1,11556.07949724577,11578.5,1,SL,-448.4100550846051,-458.4100550846051,16,
2020-10-27,1,11534.522415039422,11563.12391812128,1,TP,572.0300616371605,567.0300616371605,22,
2020-10-27,1,11540.856369228613,11563.70370328201,1,TP,456.9466810679296,451.9466810679296,38,
2020-10-27,1,11542.47856389358,11528.57,2,SL,-556.3425557431765,-576.3425557431765,49,
2020-10-29,-1,11239.301147435992,11274.35,1,SL,-700.9770512801697,-710.9770512801697,26,
2020-11-02,1,11166.853744612215,11193.061635177866,1,TP,524.1578113130163,519.1578113130163,43,
2020-11-02,-1,11196.83,11216.2,1,SL,-387.400000000016,-397.400000000016,49,
2020-11-03,-1,11146.020525854805,11163.32,2,SL,-691.9789658077934,-711.9789658077934,16,
2020-11-04,-1,11632.593535556844,11658.12,1,SL,-510.52928886314476,-520.5292888631448,34,
2020-11-05,1,12052.336022591619,12034.97,1,BE,-347.3204518323837,-357.3204518323837,70,
2020-11-05,1,12037.219911002627,12034.84,1,BE,-47.59822005253227,-57.59822005253227,145,
2020-11-09,-1,12153.382117774156,12188.8,1,SL,-708.3576445168728,-718.3576445168728,18,
2020-11-09,-1,12189.61,12183.75,1,BE,117.20000000001164,107.20000000001164,33,
2020-11-09,-1,12196.9,12220.69,1,SL,-475.80000000001746,-485.80000000001746,35,
2020-11-10,-1,11656.546024127529,11707.44,1,SL,-1017.8795174494371,-1027.8795174494371,133,
2020-11-11,1,11788.408757618807,11822.531707914783,1,TP,682.459005919518,677.459005919518,103,
2020-11-12,1,11919.200053440789,11945.589914251881,1,TP,527.797216221843,522.797216221843,42,
2020-11-12,1,11928.048498735048,11912.36,1,SL,-313.76997470095375,-323.76997470095375,119,
2020-11-16,1,11975.664800636188,11955.28,1,SL,-407.6960127237544,-417.6960127237544,212,
2020-11-17,1,11995.857427049188,12023.442252006675,1,TP,551.6964991497298,546.6964991497298,165,
2020-11-18,1,11966.021195302099,11954.74,2,SL,-451.247812083966,-471.247812083966,22,
2020-11-18,1,11940.65,11940.21,1,SL,-8.800000000010186,-18.800000000010186,24,
2020-11-19,-1,11873.753596468903,11894.81,2,SL,-842.2561412438517,-862.2561412438517,15,
2020-11-23,1,11969.850686675845,11977.196134097987,4,TP,587.6357937713328,567.6357937713328,14,
2020-11-23,1,11974.4844805678,11961.84,2,SL,-505.77922271200805,-525.779222712008,36,
2020-11-24,-1,11926.73489070014,11935.8,1,BE,-181.30218599719228,-191.30218599719228,68,
2020-11-25,1,12119.460908938394,12130.625610415436,3,TP,669.882088622544,654.882088622544,21,
2020-11-25,1,12120.510931076484,12110.31,3,SL,-612.055864589056,-642.055864589056,32,
2020-11-25,1,12112.99,12096.23,4,SL,-1340.8000000000175,-1380.8000000000175,35,
2020-11-25,-1,12123.68628381048,12128.78,1,BE,-101.8743237903982,-111.8743237903982,92,
2020-11-25,1,12102.743160170865,12124.22888680409,1,TP,429.71453266451135,424.71453266451135,175,
2020-12-01,-1,12371.25,12381.09,3,SL,-590.4000000000087,-620.4000000000087,14,
2020-12-01,-1,12376.64,12388.19,2,SL,-462.00000000004366,-482.00000000004366,17,
2020-12-01,1,12380.06575026733,12356.43,1,SL,-472.71500534658117,-482.71500534658117,70,
