date,time,volume
2026-08-21,11:35,369121
2026-08-21,11:40,356768
2026-08-21,11:45,326336
2026-08-21,11:50,242298
2026-08-21,11:55,330383
2026-08-21,12:00,421378
2026-08-21,12:05,442629
2026-08-21,12:10,258800
2026-08-21,12:15,1156821
2026-08-21,12:20,510661
2026-08-21,12:25,149120
2026-08-21,12:30,181668
2026-08-21,12:35,289266
2026-08-21,12:40,160418
2026-08-21,12:45,171097
2026-08-21,12:50,497354
2026-08-21,12:55,222703
2026-08-21,13:00,166320
2026-08-21,13:05,192721
2026-08-21,13:10,140492
2026-08-21,13:15,251335
2026-08-21,13:20,457856
2026-08-21,13:25,211275
2026-08-21,13:30,193141
2026-08-21,13:35,133709
2026-08-21,13:40,134439
2026-08-21,13:45,144525
2026-08-21,13:50,137048
2026-08-21,13:55,173800
2026-08-21,14:00,289550
2026-08-21,14:05,153182
2026-08-21,14:10,175619
2026-08-21,14:15,179232
2026-08-21,14:20,121496
2026-08-21,14:25,125743
2026-08-21,14:30,241643
2026-08-21,14:35,146811
2026-08-21,14:40,208006
2026-08-21,14:45,271561
2026-08-21,14:50,409399
2026-08-21,14:55,365782
2026-08-21,15:00,587367
2026-08-21,15:05,297398
2026-08-21,15:10,237724
2026-08-21,15:15,518302
2026-08-21,15:20,250765
2026-08-21,15:25,225112
2026-08-21,15:30,324330
2026-08-21,15:35,403725
2026-08-21,15:40,725547
2026-08-21,15:45,969624
2026-08-21,15:50,898459
2026-08-21,15:55,2638693
2026-08-24,09:30,2161631
2026-08-24,09:35,468492
2026-08-24,09:40,577255
2026-08-24,09:45,842395
2026-08-24,09:50,409135
2026-08-24,09:55,395002
2026-08-24,10:00,555214
2026-08-24,10:05,226955
2026-08-24,10:10,243334
2026-08-24,10:15,211854
2026-08-24,10:20,578408
2026-08-24,10:25,1048163
2026-08-24,10:30,301253
2026-08-24,10:35,193939
2026-08-24,10:40,2476986
2026-08-24,10:45,378023
2026-08-24,10:50,211239
2026-08-24,10:55,310423
2026-08-24,11:00,232119
2026-08-24,11:05,230631
2026-08-24,11:10,218279
2026-08-24,11:15,138358
2026-08-24,11:20,408099
2026-08-24,11:25,480586
2026-08-24,11:30,356346
2026-08-24,11:35,264624
2026-08-24,11:40,274454
2026-08-24,11:45,303002
2026-08-24,11:50,157315
2026-08-24,11:55,272226
2026-08-24,12:00,428076
2026-08-24,12:05,163853
2026-08-24,12:10,108004
2026-08-24,12:15,245039
2026-08-24,12:20,245677
2026-08-24,12:25,174251
2026-08-24,12:30,274900
2026-08-24,12:35,143081
2026-08-24,12:40,287270
2026-08-24,12:45,143128
2026-08-24,12:50,129084
2026-08-24,12:55,131861
2026-08-24,13:00,135437
2026-08-24,13:05,194862
2026-08-24,13:10,314038
2026-08-24,13:15,164433
2026-08-24,13:20,337394
2026-08-24,13:25,193172
2026-08-24,13:30,192457
2026-08-24,13:35,161284
2026-08-24,13:40,221499
2026-08-24,13:45,173204
2026-08-24,13:50,168380
2026-08-24,13:55,226742
2026-08-24,14:00,190948
2026-08-24,14:05,203890
2026-08-24,14:10,213906
2026-08-24,14:15,213948
2026-08-24,14:20,345017
2026-08-24,14:25,324066
2026-08-24,14:30,261335
2026-08-24,14:35,229992
2026-08-24,14:40,233608
2026-08-24,14:45,196161
2026-08-24,14:50,150055
2026-08-24,14:55,197493
2026-08-24,15:00,204008
2026-08-24,15:05,172444
2026-08-24,15:10,148121
2026-08-24,15:15,189753
2026-08-24,15:20,192402
2026-08-24,15:25,200097
2026-08-24,15:30,255565
2026-08-24,15:35,276731
2026-08-24,15:40,344874
2026-08-24,15:45,608012
2026-08-24,15:50,685812
2026-08-24,15:55,2331037
2026-08-25,09:30,1531753
2026-08-25,09:35,346646
2026-08-25,09:40,311712
2026-08-25,09:45,323890
2026-08-25,09:50,484134
2026-08-25,09:55,375118
2026-08-25,10:00,385077
2026-08-25,10:05,371268
2026-08-25,10:10,311307
2026-08-25,10:15,372009
2026-08-25,10:20,341315
2026-08-25,10:25,359484
2026-08-25,10:30,1112263
2026-08-25,10:35,552248
2026-08-25,10:40,329732
2026-08-25,10:45,277883
2026-08-25,10:50,227423
2026-08-25,10:55,265460
2026-08-25,11:00,154049
2026-08-25,11:05,172782
2026-08-25,11:10,117091
2026-08-25,11:15,176392
2026-08-25,11:20,206458
2026-08-25,11:25,280575
2026-08-25,11:30,302084
2026-08-25,11:35,256493
2026-08-25,11:40,216396
2026-08-25,11:45,141450
2026-08-25,11:50,250704
2026-08-25,11:55,185520
2026-08-25,12:00,388840
2026-08-25,12:05,133742
2026-08-25,12:10,163347
2026-08-25,12:15,237051
2026-08-25,12:20,430987
2026-08-25,12:25,111754
2026-08-25,12:30,113569
2026-08-25,12:35,126282
2026-08-25,12:40,109315
2026-08-25,12:45,154720
2026-08-25,12:50,100659
2026-08-25,12:55,104137
2026-08-25,13:00,138537
2026-08-25,13:05,178066
2026-08-25,13:10,318957
2026-08-25,13:15,74882
2026-08-25,13:20,122697
2026-08-25,13:25,337552
2026-08-25,13:30,150576
2026-08-25,13:35,1130602
2026-08-25,13:40,82982
2026-08-25,13:45,142516
2026-08-25,13:50,174975
2026-08-25,13:55,111072
2026-08-25,14:00,200372
2026-08-25,14:05,132198
2026-08-25,14:10,170947
2026-08-25,14:15,163510
2026-08-25,14:20,190635
2026-08-25,14:25,164895
2026-08-25,14:30,204141
2026-08-25,14:35,224387
2026-08-25,14:40,142607
2026-08-25,14:45,347738
2026-08-25,14:50,336027
2026-08-25,14:55,326416
2026-08-25,15:00,256437
2026-08-25,15:05,282020
2026-08-25,15:10,545118
2026-08-25,15:15,365534
2026-08-25,15:20,278849
2026-08-25,15:25,192156
2026-08-25,15:30,250291
2026-08-25,15:35,578069
2026-08-25,15:40,358867
2026-08-25,15:45,566282
2026-08-25,15:50,750870
2026-08-25,15:55,1898464
2026-08-26,09:30,1144518
2026-08-26,09:35,429945
2026-08-26,09:40,420779
2026-08-26,09:45,373090
2026-08-26,09:50,297119
2026-08-26,09:55,293775
2026-08-26,10:00,204963
2026-08-26,10:05,240176
2026-08-26,10:10,264544
2026-08-26,10:15,221140
2026-08-26,10:20,193323
2026-08-26,10:25,397863
2026-08-26,10:30,253224
2026-08-26,10:35,210121
2026-08-26,10:40,181698
2026-08-26,10:45,201711
2026-08-26,10:50,227712
2026-08-26,10:55,174692
2026-08-26,11:00,205272
2026-08-26,11:05,178368
2026-08-26,11:10,415345
2026-08-26,11:15,259550
2026-08-26,11:20,169433
2026-08-26,11:25,142136
2026-08-26,11:30,193551
2026-08-26,11:35,181729
2026-08-26,11:40,165128
2026-08-26,11:45,165291
2026-08-26,11:50,394460
2026-08-26,11:55,225334
2026-08-26,12:00,327388
2026-08-26,12:05,187752
2026-08-26,12:10,143823
2026-08-26,12:15,276896
2026-08-26,12:20,178243
2026-08-26,12:25,171838
2026-08-26,12:30,170029
2026-08-26,12:35,383983
2026-08-26,12:40,296818
2026-08-26,12:45,253226
2026-08-26,12:50,173927
2026-08-26,12:55,324047
2026-08-26,13:00,152710
2026-08-26,13:05,155219
2026-08-26,13:10,177797
2026-08-26,13:15,199620
2026-08-26,13:20,214656
2026-08-26,13:25,277001
2026-08-26,13:30,212724
2026-08-26,13:35,162198
2026-08-26,13:40,212544
2026-08-26,13:45,231353
2026-08-26,13:50,121755
2026-08-26,13:55,109454
2026-08-26,14:00,251503
2026-08-26,14:05,189514
2026-08-26,14:10,190451
2026-08-26,14:15,177850
2026-08-26,14:20,215818
2026-08-26,14:25,191404
2026-08-26,14:30,243282
2026-08-26,14:35,230244
2026-08-26,14:40,421512
2026-08-26,14:45,336781
2026-08-26,14:50,402036
2026-08-26,14:55,263941
2026-08-26,15:00,465035
2026-08-26,15:05,150152
2026-08-26,15:10,305193
2026-08-26,15:15,287064
2026-08-26,15:20,275185
2026-08-26,15:25,293639
2026-08-26,15:30,373935
2026-08-26,15:35,418674
2026-08-26,15:40,684352
2026-08-26,15:45,755475
2026-08-26,15:50,1217561
2026-08-26,15:55,1630545
2026-08-27,09:30,2348700
2026-08-27,09:35,525672
2026-08-27,09:40,717668
2026-08-27,09:45,994450
2026-08-27,09:50,722341
2026-08-27,09:55,588090
2026-08-27,10:00,580218
2026-08-27,10:05,304076
2026-08-27,10:10,315771
2026-08-27,10:15,470757
2026-08-27,10:20,304222
2026-08-27,10:25,375978
2026-08-27,10:30,208017
2026-08-27,10:35,291257
2026-08-27,10:40,144726
2026-08-27,10:45,282886
2026-08-27,10:50,285754
2026-08-27,10:55,211617
2026-08-27,11:00,351905
2026-08-27,11:05,264591
2026-08-27,11:10,174918
2026-08-27,11:15,243951
2026-08-27,11:20,248394
2026-08-27,11:25,203770
2026-08-27,11:30,544965
2026-08-27,11:35,248213
2026-08-27,11:40,463270
2026-08-27,11:45,238609
2026-08-27,11:50,245185
2026-08-27,11:55,238924
2026-08-27,12:00,201115
2026-08-27,12:05,203359
2026-08-27,12:10,119828
2026-08-27,12:15,101617
2026-08-27,12:20,123570
2026-08-27,12:25,241088
2026-08-27,12:30,193918
2026-08-27,12:35,226517
2026-08-27,12:40,226714
2026-08-27,12:45,190693
2026-08-27,12:50,241641
2026-08-27,12:55,208420
2026-08-27,13:00,202343
2026-08-27,13:05,217071
2026-08-27,13:10,143701
2026-08-27,13:15,225144
2026-08-27,13:20,303960
2026-08-27,13:25,478660
2026-08-27,13:30,203362
2026-08-27,13:35,126804
2026-08-27,13:40,264748
2026-08-27,13:45,273019
2026-08-27,13:50,208262
2026-08-27,13:55,278355
2026-08-27,14:00,453717
2026-08-27,14:05,254651
2026-08-27,14:10,346669
2026-08-27,14:15,194327
2026-08-27,14:20,192404
2026-08-27,14:25,411160
2026-08-27,14:30,420777
2026-08-27,14:35,310402
2026-08-27,14:40,122501
2026-08-27,14:45,219319
2026-08-27,14:50,293598
2026-08-27,14:55,397264
2026-08-27,15:00,427887
2026-08-27,15:05,604997
2026-08-27,15:10,219694
2026-08-27,15:15,351737
2026-08-27,15:20,277348
2026-08-27,15:25,386174
2026-08-27,15:30,269612
2026-08-27,15:35,341980
2026-08-27,15:40,454321
2026-08-27,15:45,572686
2026-08-27,15:50,773924
2026-08-27,15:55,3081226
2026-08-28,09:30,1185700
2026-08-28,09:35,359329
2026-08-28,09:40,283565
2026-08-28,09:45,367203
2026-08-28,09:50,366210
2026-08-28,09:55,326392
2026-08-28,10:00,930125
2026-08-28,10:05,735377
2026-08-28,10:10,692198
2026-08-28,10:15,725171
2026-08-28,10:20,500677
2026-08-28,10:25,498738
2026-08-28,10:30,371897
2026-08-28,10:35,324347
2026-08-28,10:40,374829
2026-08-28,10:45,549211
2026-08-28,10:50,578937
2026-08-28,10:55,644611
2026-08-28,11:00,545947
2026-08-28,11:05,505790
2026-08-28,11:10,364453
2026-08-28,11:15,221236
2026-08-28,11:20,217533
2026-08-28,11:25,388341
2026-08-28,11:30,236755
2026-08-28,11:35,286963
2026-08-28,11:40,665456
2026-08-28,11:45,461804
2026-08-28,11:50,476354
2026-08-28,11:55,436442
2026-08-28,12:00,581209
2026-08-28,12:05,456579
2026-08-28,12:10,335237
2026-08-28,12:15,369719
2026-08-28,12:20,456257
2026-08-28,12:25,261618
2026-08-28,12:30,324747
2026-08-28,12:35,252162
2026-08-28,12:40,201958
2026-08-28,12:45,735803
2026-08-28,12:50,237594
2026-08-28,12:55,296481
2026-08-28,13:00,381643
2026-08-28,13:05,302494
2026-08-28,13:10,304153
2026-08-28,13:15,272741
2026-08-28,13:20,247381
2026-08-28,13:25,176927
2026-08-28,13:30,165108
2026-08-28,13:35,234228
2026-08-28,13:40,187361
2026-08-28,13:45,164535
2026-08-28,13:50,146107
2026-08-28,13:55,140284
2026-08-28,14:00,192034
2026-08-28,14:05,153586
2026-08-28,14:10,198963
2026-08-28,14:15,146788
2026-08-28,14:20,191276
2026-08-28,14:25,157562
2026-08-28,14:30,178395
2026-08-28,14:35,293078
2026-08-28,14:40,217427
2026-08-28,14:45,138564
2026-08-28,14:50,307478
